section_id,section_code,from_station_code,from_station_name,to_station_code,to_station_name,daily_train_count,criticality_score,last_computed_at
111,NGP_KSWR,NGP,NAGPUR JN.(CR),KSWR,KALMESHWAR,1,0.1308,2026-09-01 07:15:16.854274
112,SCH_UDN,SCH,SACHIN,UDN,UDHNA JN.,2,0.2074,2026-09-01 07:15:16.854274
113,MTFA_LKX,MTFA,MERTALA PHAL,LKX,LAKSHMIPUR,13,0.4981,2026-09-01 07:15:16.854274
114,PM_DEC,PM,PALAM,DEC,DELHI CANTT,16,0.5347,2026-09-01 07:15:16.854274
115,IKD_SPRA,IKD,IKDORI,SPRA,SILLIPUR,2,0.2074,2026-09-01 07:15:16.854274
116,DAVC_BVW,DAVC,D.A.V.COLLEG,BVW,BAHMNIWALA,5,0.3382,2026-09-01 07:15:16.854274
117,MNY_PLL,MNY,MANKARAI,PLL,PARLI,5,0.3382,2026-09-01 07:15:16.854274
118,APDJ_KOJ,APDJ,ALIPUR DUAR JN.,KOJ,KOKRAJHAR,5,0.3382,2026-09-01 07:15:16.854274
119,HAS_HLN,HAS,HASSAN JN.,HLN,HOLENARSIPUR,5,0.3382,2026-09-01 07:15:16.854274
120,KUD_RBG,KUD,KUDACHI,RBG,RAYBAG,2,0.2074,2026-09-01 07:15:16.854274
121,PPDA_BAGL,PPDA,PANCHPATIA D,BAGL,BARA-GOPAL,4,0.3038,2026-09-01 07:15:16.854274
122,PNVL_KJT,PNVL,PANVEL,KJT,KARJAT,3,0.2616,2026-09-01 07:15:16.854274
123,SLN_DWJ,SLN,SULTANPUR JN,DWJ,DWARKAGANJ,2,0.2074,2026-09-01 07:15:16.854274
124,VLT_GYM,VLT,VALATHOOR,GYM,GUDIATTAM,4,0.3038,2026-09-01 07:15:16.854274
125,KNHN_DKU,KNHN,KANHAN JN.,DKU,DUMRIKHURD,3,0.2616,2026-09-01 07:15:16.854274
126,EE_BMD,EE,ELURU,BMD,BHIMADOLU,4,0.3038,2026-09-01 07:15:16.854274
